Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,timestamp
3423,19,Female,Shorts,Clothing,77,New York,M,Olive,Winter,4.0,No,Express,Yes,Yes,50,Cash,Monthly,2025-12-01 18:15:33
2604,69,Male,Sandals,Footwear,75,Washington,M,Green,Spring,4.3,No,Next Day Air,No,No,4,Debit Card,Annually,2025-12-01 18:15:33
1745,57,Male,Hoodie,Clothing,74,Michigan,M,Pink,Spring,4.4,No,Free Shipping,No,Yes,39,Bank Transfer,Weekly,2025-12-01 18:15:33
2720,69,Female,Shirt,Clothing,42,Louisiana,M,Violet,Fall,4.7,No,2-Day Shipping,Yes,No,27,Credit Card,Monthly,2025-12-01 18:15:33
2733,21,Female,Sunglasses,Accessories,62,Delaware,S,Magenta,Summer,2.6,No,Free Shipping,Yes,No,10,Credit Card,Every 3 Months,2025-12-01 18:15:33
3533,61,Female,Gloves,Accessories,25,Connecticut,L,Maroon,Fall,3.4,No,Standard,Yes,No,13,Cash,Annually,2025-12-01 18:15:33
294,69,Male,Gloves,Accessories,44,Connecticut,XL,Turquoise,Summer,3.0,Yes,Free Shipping,No,Yes,7,Cash,Annually,2025-12-01 18:15:33
1303,23,Male,Backpack,Accessories,41,Idaho,M,Beige,Winter,3.0,No,Next Day Air,No,Yes,10,Debit Card,Monthly,2025-12-01 18:15:33
1025,28,Male,T-shirt,Clothing,66,Pennsylvania,M,Purple,Summer,3.5,Yes,Free Shipping,Yes,Yes,18,Venmo,Quarterly,2025-12-01 18:15:33
3654,67,Female,Jacket,Outerwear,51,Minnesota,L,Green,Summer,4.3,No,Store Pickup,No,Yes,7,Bank Transfer,Fortnightly,2025-12-01 18:15:33
186,46,Male,Belt,Accessories,48,Wisconsin,M,White,Summer,3.5,Yes,Express,No,Yes,4,Credit Card,Fortnightly,2025-12-01 18:15:33
690,19,Male,Sandals,Footwear,76,Pennsylvania,XL,Pink,Summer,3.3,Yes,Next Day Air,Yes,Yes,22,Bank Transfer,Every 3 Months,2025-12-01 18:15:33
3231,49,Female,Handbag,Accessories,58,Kansas,S,Teal,Summer,2.9,No,Free Shipping,No,Yes,3,Bank Transfer,Annually,2025-12-01 18:15:33
1266,32,Male,Shirt,Clothing,79,Louisiana,M,Lavender,Spring,2.7,No,Next Day Air,Yes,Yes,27,Bank Transfer,Weekly,2025-12-01 18:15:33
1164,26,Male,T-shirt,Clothing,28,Tennessee,L,Purple,Winter,4.3,No,Free Shipping,No,No,18,PayPal,Monthly,2025-12-01 18:15:33
306,60,Male,Belt,Accessories,74,Utah,M,Pink,Winter,4.9,Yes,2-Day Shipping,Yes,No,35,PayPal,Annually,2025-12-01 18:15:33
1638,35,Male,Coat,Outerwear,45,Massachusetts,L,Silver,Fall,3.1,No,2-Day Shipping,Yes,No,27,Bank Transfer,Fortnightly,2025-12-01 18:15:33
2522,29,Male,Sandals,Footwear,93,Minnesota,M,Lavender,Spring,4.3,No,Next Day Air,Yes,No,11,Bank Transfer,Every 3 Months,2025-12-01 18:15:33
387,64,Male,Sneakers,Footwear,73,Louisiana,L,Lavender,Spring,3.4,Yes,Store Pickup,No,No,4,PayPal,Quarterly,2025-12-01 18:15:33
868,37,Male,Jewelry,Accessories,55,Colorado,M,White,Fall,2.8,Yes,Express,No,Yes,23,Cash,Fortnightly,2025-12-01 18:15:33
516,28,Male,Sandals,Footwear,48,Kentucky,XL,Cyan,Fall,4.2,Yes,Express,Yes,No,39,Bank Transfer,Monthly,2025-12-01 18:15:33
3282,27,Female,Skirt,Clothing,23,Oregon,M,Gray,Winter,2.7,No,Express,No,No,40,Venmo,Annually,2025-12-01 18:15:33
1562,50,Male,Sandals,Footwear,60,Mississippi,XL,Teal,Summer,4.0,No,Express,Yes,Yes,24,PayPal,Quarterly,2025-12-01 18:15:33
1325,39,Male,Jewelry,Accessories,77,Indiana,S,Orange,Summer,3.8,No,Free Shipping,Yes,Yes,11,Credit Card,Fortnightly,2025-12-01 18:15:33
3158,21,Female,T-shirt,Clothing,28,Maine,M,Peach,Summer,3.0,No,2-Day Shipping,Yes,No,28,Cash,Fortnightly,2025-12-01 18:15:33
245,53,Male,Hat,Accessories,40,Oregon,M,Gray,Spring,4.6,Yes,Standard,No,No,16,Credit Card,Weekly,2025-12-01 18:15:33
2703,70,Female,Shoes,Footwear,37,Texas,L,Gray,Fall,4.0,No,Next Day Air,No,No,39,Debit Card,Fortnightly,2025-12-01 18:15:33
2421,41,Male,Belt,Accessories,84,North Carolina,M,Blue,Summer,2.8,No,Store Pickup,No,Yes,20,Cash,Annually,2025-12-01 18:15:33
1272,70,Male,Belt,Accessories,89,Kentucky,L,Blue,Summer,4.7,No,Free Shipping,Yes,No,20,Debit Card,Annually,2025-12-01 18:15:33
