userId,name,predicted_rating
3900,Jeans,3.5715845
3900,Shirt,3.4896264
3900,Blouse,3.4534128
3899,Blouse,3.9872477
3899,Hoodie,3.9728851
3899,Sweater,3.968143
3898,Dress,3.0852072
3898,Sneakers,2.92055
3898,Hat,2.8612514
3897,Jewelry,3.8091526
3897,Handbag,3.6773798
3897,Belt,3.6258101
3896,Jewelry,4.4812365
3896,T-shirt,4.249988
3896,Boots,4.177601
3895,Sunglasses,3.5438557
3895,Blouse,3.3963757
3895,Socks,3.3545668
3894,Pants,3.3324738
3894,Dress,3.239149
3894,Shorts,3.2005327
3893,Hat,3.4320135
3893,Hoodie,3.373684
3893,Blouse,3.27186
3892,Skirt,3.9451797
3892,Belt,3.651502
3892,Hoodie,3.6487648
3891,Skirt,4.4171143
3891,Dress,3.9925559
3891,Blouse,3.6272876
3890,Handbag,3.6227999
3890,Scarf,3.5771914
3890,Hat,3.4876218
3889,Shirt,3.698236
3889,Jeans,3.3571167
3889,Pants,3.3101993
3888,Shoes,3.3503597
3888,Jacket,3.335852
3888,Shorts,3.3204288
3887,Socks,3.4049907
3887,Hoodie,3.3430595
3887,Jeans,3.2369518
3886,Hoodie,3.4173448
3886,Hat,3.269381
3886,Gloves,3.185606
3885,Gloves,4.3102255
3885,Hat,4.1870327
3885,Backpack,4.056173
3884,Boots,4.3647175
3884,T-shirt,4.017345
3884,Sneakers,3.8925884
3883,Handbag,3.201948
3883,Boots,3.1527271
3883,Shirt,3.0943573
3882,Shirt,3.800878
3882,Skirt,3.7550857
3882,Shoes,3.706945
3881,Coat,4.0650673
3881,Jewelry,4.0602455
3881,Jeans,3.9607508
3880,Shoes,3.969127
3880,Sweater,3.8143966
3880,Handbag,3.68291
3879,Sweater,3.872867
3879,Pants,3.744479
3879,Gloves,3.6678019
3878,Shoes,3.4344263
3878,Blouse,3.4266467
3878,Hat,3.38208
3877,Gloves,3.272542
3877,Hat,3.1517932
3877,T-shirt,2.9583993
3876,Boots,3.7149963
3876,Sandals,3.565826
3876,Sneakers,3.3014238
3875,Blouse,4.2330337
3875,Coat,4.2323604
3875,Jacket,4.173593
3874,Jacket,3.63459
3874,T-shirt,3.538334
3874,Boots,3.5175881
3873,Blouse,3.846389
3873,Handbag,3.499185
3873,Socks,3.466261
3872,Dress,3.9412603
3872,Handbag,3.9053829
3872,Backpack,3.8023815
3871,Backpack,3.9916286
3871,Coat,3.9203131
3871,Shirt,3.8105414
3870,Sandals,3.9734013
3870,Gloves,3.76218
3870,Boots,3.724797
3869,Boots,3.5335455
3869,Socks,3.4860198
3869,Hat,3.4747717
3868,Handbag,3.2749226
3868,Scarf,2.9773636
3868,Jewelry,2.9459639
3867,Shoes,3.5569746
3867,Socks,3.5384502
3867,Sweater,3.4568658
3866,Jewelry,3.9765239
3866,Jeans,3.761794
3866,Sneakers,3.6480854
3865,Skirt,4.5554123
3865,Handbag,4.441183
3865,Sunglasses,4.405332
3864,Jewelry,3.3409944
3864,Coat,3.3222456
3864,Sweater,3.1573253
3863,T-shirt,3.5140946
3863,Gloves,3.4725199
3863,Sandals,3.4664655
3862,Backpack,3.7453601
3862,Sandals,3.5127661
3862,Shorts,3.476493
3861,Jewelry,3.8024724
3861,Belt,3.6487901
3861,Hoodie,3.505412
3860,Pants,3.453128
3860,T-shirt,3.3980846
3860,Dress,3.3424103
3859,Handbag,3.7079859
3859,Boots,3.7074955
3859,Sweater,3.6111658
3858,Gloves,3.3537087
3858,T-shirt,3.3345494
3858,Jewelry,3.2706318
3857,Scarf,4.0767603
